hole_cards,community_cards,win_probability
8C TS,KS 5D 8S,0.716
8C 9H,4D 3H 5H 3C,0.156
3S KS,8S 6H 9H,0.348
2S JD,TC 8H QH TS QC,0.436
9H 5C,7C KC 7D AS 3C,0.139
2C 4H,KH 5S 3C 3D JS,0.0
4D KH,AC QC AS KS,0.804
AD 3C,JH KS 9H QD 7D,0.222
9S KD,3H 9D KC,0.937
3H 3S,QC JC 7C 9H,0.342
4H 8C,5S AH JC 8H,0.629
3S 9H,8S AD 4H 4D KS,0.145
3H AC,KH TH JD 7S,0.408
9S TH,8H 3S 3D 5H QS,0.194
AS 4C,KC JH 8C 3D 3C,0.403
8D KC,2S 5S AS 2H,0.4
9H TC,JC JH TS 6H 9S,0.758
KC 4H,AH 7D 6H 3D,0.418
TD 8S,4H 9S QH,0.413
6S 6C,7S 3H QD 9C 3D,0.535
9C 7S,5C KD 4C,0.297
JC 9S,5C KC 9C 8C KH,0.887
TH 4S,6H QC 4C,0.562
4C 6D,4H KC 2S JH,0.592
QH 7H,QD 6C 2C 9H AC,0.73
4H 7S,6C TH 5S 3S,0.968
9C 9S,7H 5D 5H 4C 3H,0.657
TD 4H,KH 4C 7S 4D JD,0.946
8D 5C,AD 9H 6D 2S,0.228
5D JS,AC 2S 6D,0.342
2S AH,5C 6C 7C 9S,0.247
2S 2H,6D 3D JC,0.443
KC 9C,9S KD KH TC AH,0.989
9C AH,2S AD AS 8C 2D,0.955
5H 6D,3D 6C AH,0.665
9S TS,7C JH 8D 2C 5S,0.991
9C KC,2S AH TC JS AC,0.424
5H 9D,2C 8D 5S,0.647
AC 9D,7H KC KD,0.599
TC 6S,QC 3S 7H 3C AH,0.222
KH KD,9H 4C 8D,0.824
8C 2S,9C 2D 5H,0.544
9C JD,3D 2C 2S,0.371
8H 3H,5H 6C KH 2D 2S,0.0283
AD 3D,4S 6S KC 8S,0.313
6D 2H,5D 2D AS JD,0.531
3C 9C,8S KH 3H 6C JD,0.463
KD 6C,3H 7S 6S 2D 4H,0.601
KS 6H,KH QS KD TS JH,0.627
JS KS,JH 2C 5S,0.841
KC 5S,4C KS QC 2H,0.832
4H 3H,QS 5D 9D,0.167
AC QC,KC 2C 8H 3H,0.584
6D QH,5D 5C 8S 2H JH,0.222
7C 4S,QH 3C 6S 3S 3H,0.0404
AS 5D,AH 4C 7D 9D,0.843
3S AC,2D TH 8S,0.45
QH 2D,8H JD AD 5S,0.307
3C 4H,3H AS 7D 8H 3D,0.946
TH 6C,KH KD 3H,0.39
3H 3C,JD TH 6S AH TC,0.507
AC 2D,9S JD QC,0.408
AD 5D,3D 5C JD 7H,0.704
JS 5H,6S 5S 6C 2C,0.692
7H 8C,3H QC TS 7D QD,0.68
8C 9D,8H 2D 9S 3S,0.925
3S TC,8S 4D 5H,0.233
TS 7S,5S 3C KH 4D,0.255
QD 8S,2C AS 2H,0.455
TC KH,8S 7S 5H 7C,0.405
9D 5S,JC KD TH AD,0.273
7C 9S,5S AD TD,0.293
7S 7D,AS TC 9H,0.556
4C 7C,9C KS TH,0.257
TH AH,7S KH JC,0.615
3D 8D,TD QC 8H,0.606
JH 3H,6C 6D JS,0.776
JC TC,5C 9D JH,0.816
8H TS,TC 2S 4D 4S AS,0.637
9S 3H,7D KD 4D QH,0.158
QS 8D,AC 5D KS,0.466
3C QH,7H JD JH 3H 2H,0.888
AD QC,AS AC 5C KC TH,0.93
QS TC,QH TD 6H 3H 4D,0.909
4C AD,9H TC 7D,0.389
9D 6S,JS 6D QC 7D KD,0.4
TS AD,JD 8S JC,0.618
3S 2S,AH JD KD 5D 4D,0.623
QH QC,8C TD JS JC KD,0.742
3C 4H,5C 9D 8S 3D 9S,0.539
AH JH,QD TC 7H 9C,0.51
AH 3D,AD KH 4D 2S 5C,0.87
6C TS,8H 8C 2H 4S,0.229
7H AC,3H JH KS,0.493
2D 6S,KH 3S 2C,0.552
8D 2C,QD TH JS 9C 6D,0.71
QS 7C,9C 3H 5C,0.383
2S 6C,KS QS AD AS 2C,0.498
KH JS,2H AH QC TH 6D,0.955
8C 7D,9D 3C 3S,0.277
KH 7C,JH 6H TH,0.606
JC 2D,7D 5H 6H QC,0.185
QC 4S,TD AC 8S 5S JD,0.206
9H 7C,AH AD 4H,0.345
7C 9H,7D 5C 4D AH 4C,0.625
8H TD,AS 6D 4C AD,0.303
2H 6S,QH AH 9S,0.209
QS 3D,TC JD AD 3S JH,0.543
2S 3H,8S 7C AD,0.157
QD 5C,3D 4H 7C,0.436
AD KS,7D JH 3H,0.52
9H 2D,8C 5D QC KC 4D,0.0636
3C TD,3S 2S TH 2C,0.83
KC 7D,8H 7C 9S,0.553
9S 8D,9H KH 9C,0.914
5H AH,2H JS JH,0.713
6H KS,AH 3D QS 9C 5C,0.323
QS 2C,4S KS 5H 3C 5D,0.287
3S JH,TC TS KD QS JD,0.355
TS TC,4D QD KH,0.67
