hole_cards,community_cards,win_probability
6S QH,3D 7C TD,0.326
2C 8H,2H 5S 4H 5C 3D,0.323
4D 4H,4S 6H 3C 6S JD,0.982
6S 5C,6H 4S 6C 7S 3S,0.823
6H 5S,8D 4C TD,0.287
AS 6H,9C 8C JD 9S TH,0.222
JS 5H,7S 5S 8S 8D,0.603
KD 4D,AC 8D JH QH 3S,0.299
7H 9D,3C 9C KS 3H,0.658
3C 8H,QH JH TC 9D,0.589
KC KH,KD TC QD TD,0.991
6C 9S,6H 8S 2C QD 2D,0.568
7C AC,5H KD QD,0.447
JS KD,TC 4H 2C 4D 6H,0.36
TS 5S,8D QH 7H 2C,0.18
TC 6S,5H 8D AC KD 9C,0.133
9D 3C,AH 3H TS KS KD,0.539
3S AS,QC TH TD 2S,0.492
TH 4D,7C 8H 4C,0.536
7C 8S,JD 7D 4D,0.544
TH TC,5H 7H 8S KD,0.688
6C 4S,5D 5H 8C,0.282
QC 4H,7C TC KS 6C,0.389
8S TD,9H KC 5S 3C QC,0.18
AH 4H,KS AS QH,0.767
5C JH,TD 8C QH,0.388
2D QD,QC 2C 2S JC,0.984
9H TH,3C KH QD,0.458
8H KD,7D 3S 7H,0.467
3S 4S,6D 5H 6C AC QD,0.0
AH AD,5D 2D 3D 3C QS,0.842
KH 9C,5D 4H TD 6C 6S,0.315
AD 8D,2C 5H TS 4S,0.42
TC 8H,2C 9S 5D,0.302
AD KC,4D 2C JD AH,0.855
AS KH,4C 9D 2S QC,0.464
6C QS,8S QC 2C AC,0.733
7S 7H,9H 3D TC 2D 2S,0.638
5S 9D,7D 3C KS,0.252
5S 2D,JD TS 4C TD AC,0.0121
JS 7D,QS KD 3D,0.396
6C KH,QH 2D 5H,0.427
QS 6H,2S AD KH,0.427
7S 6H,7H TS 9C 2C,0.59
6H 3C,6S 2C 3D,0.842
6C QC,7C 6H 5H 7S JD,0.68
4D QC,9H 6H 7C 5H KH,0.0727
AS 4C,4D 3C AC,0.86
AC JC,TC 4D JS QS 9D,0.502
KH 3H,QD 5H 6H,0.595
