hole_cards,community_cards,win_probability
KH 7D,KC QC 2H 4C 8C,0.526
7C 6H,KH 3S 8D TH JH,0.0818
AC 4S,3D 3C 5C KH 2C,0.915
AD 5D,8S 9D 4H 7D,0.5
8D 4S,3S 9D 9H TC,0.186
5H QS,JS QD AS AD KD,0.527
AS 6C,9C QD KC 5D 2H,0.323
4H 6C,6S AH 3S 4C 4D,0.991
TD 8C,5D 2D QH AH 7D,0.157
QD TS,TC QC JC 2C AS,0.485
8H QC,TC JH 5D 6S,0.343
AC 6C,7C KD 2D 2C,0.579
TS AD,JD 4C KC 2C 4D,0.396
6S QS,QH 2D JH AS JS,0.685
8H KS,AH JH 5H 6H,0.824
5H 7S,KD 4S 8D 5C TH,0.518
7S 5H,3D QS 4S AS,0.353
QS JC,5H 6D 8D 2S TD,0.134
5H TD,2H 8H JC QD 2S,0.222
9D QD,8H 8D 9S TC AS,0.541
AH 6D,AD 8C JD 7S TD,0.639
JC 4S,3D JD AD 3S 4H,0.709
2D 4H,4C 8C 6D TD,0.441
AD 5D,QS 9H 4C JS,0.338
AD 2H,6H 2D 9S 6D,0.627
2C QH,TC JC JH AH JD,0.424
3S 4D,JC 5S 2D AS 5H,0.963
9D KD,AS 4S 8D TS,0.358
2S JC,JD KD 7C 9S QD,0.477
QD 3H,TH 8C KH 4D KS,0.315
4D AH,4H JD 5S 6C TS,0.444
KH 4S,8C 5D AS KD 7S,0.723
6D 8H,6S TD 9D 5H KS,0.508
6C KH,8C 5D 5C 8D AH,0.0
JD 6S,TH 5C 2D TD 3D,0.136
4C 3H,4S 8D 7C QC 4D,0.93
8D KS,7S 8C TC 7C,0.567
2S TS,TH 3S 3H 8S,0.784
QC 3C,8C 2D 6C 2S 5H,0.178
KC 5C,8D QC 8S JD 7S,0.299
AS TD,4H 5C AD 7D,0.761
7D KH,AC TC 9S 9C AH,0.553
2S TH,KS KD QD 7S AH,0.315
2D 3S,7D 2S AH JH,0.485
3C 4S,9S 5C 5D 4H 7S,0.53
3D KD,8D 4D 6S 2C 5D,0.992
KC 2C,QD 5S 5C 8H,0.385
AD 3C,KC QD 6S AS,0.801
4H AC,3C KC TD 6C,0.489
6C 8C,5S JS 9H KH,0.237
