hole_cards,win_probability
2H 2D,0.50351
2H 2C,0.502335
2H 2S,0.50317
2H 3H,0.35904
2H 3D,0.323715
2H 3C,0.320645
2H 3S,0.32391
2H 4H,0.368215
2H 4D,0.33179
2H 4C,0.33041
2H 4S,0.331545
2H 5H,0.37818
2H 5D,0.341485
2H 5C,0.342825
2H 5S,0.34376
2H 6H,0.378425
2H 6D,0.34066
2H 6C,0.34096
2H 6S,0.33968
2H 7H,0.381085
2H 7D,0.34637
2H 7C,0.345825
2H 7S,0.34625
2H 8H,0.401665
2H 8D,0.367515
2H 8C,0.367975
2H 8S,0.370675
2H 9H,0.425585
2H 9D,0.39431
2H 9C,0.39081
2H 9S,0.389875
2H TH,0.44883
2H TD,0.41621
2H TC,0.413295
2H TS,0.416935
2H JH,0.473555
2H JD,0.44117
2H JC,0.44501
2H JS,0.44297
2H QH,0.50407
2H QD,0.472685
2H QC,0.47163
2H QS,0.474325
2H KH,0.53066
2H KD,0.50605
2H KC,0.504185
2H KS,0.506135
2H AH,0.572285
2H AD,0.547525
2H AC,0.54955
2H AS,0.548055
2D 2H,0.50368
2D 2C,0.504585
2D 2S,0.503715
2D 3H,0.32356
2D 3D,0.35899
2D 3C,0.32302
2D 3S,0.3228
2D 4H,0.329755
2D 4D,0.369655
2D 4C,0.33226
2D 4S,0.331005
2D 5H,0.34254
2D 5D,0.378545
2D 5C,0.344765
2D 5S,0.343595
2D 6H,0.340515
2D 6D,0.37528
2D 6C,0.343525
2D 6S,0.340595
2D 7H,0.345415
2D 7D,0.37986
2D 7C,0.34671
2D 7S,0.3451
2D 8H,0.368095
2D 8D,0.40361
2D 8C,0.368165
2D 8S,0.36727
2D 9H,0.38998
2D 9D,0.425765
2D 9C,0.3894
2D 9S,0.39121
2D TH,0.41746
2D TD,0.44587
2D TC,0.41714
2D TS,0.415835
2D JH,0.443445
2D JD,0.473295
2D JC,0.442905
2D JS,0.444355
2D QH,0.475095
2D QD,0.502485
2D QC,0.472745
2D QS,0.471375
2D KH,0.50269
